id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
7240,I go to the gym to see animals.,I go to the gym to play basketball.,A gym is a place for sports and there are no animals.,Animals are not present in a gym.,Animals do not hang out in gyms.,The gym can accommodate many spectators.,A gym is a place for sports and there are no animals.,Some animals live in the zoo,1
7241,I had football for dinner,I had steak for dinner,Football is sporting goods and can't be eaten.,Footballs are not edible.,Footballs are not typically edible.,Football originated in England,Football is sporting goods and can't be eaten.,Some people like to play football after dinner,1
7242,Outdated food is edible,Outdated food is not edible,Outdated food is not good for health,You should not eat outdated food.,Food that is out of date may taste bad or be unsafe to eat.,Outdated food is not good for health,Fresh fruit is edible but easy to be outdated,Outdated food should not be kept in supermarkets for sale,0
7243,"In order to exercise, I learn to draw.","In order to exercise, I learn to basketball.",Painting is not a form of exercise.,Drawing doesn't make you sweat.,Drawing is not a kind of exercise.,We can exercise in the gym and draw in the classroom.,Painting is not a form of exercise.,Exercise is good for your health,1
7244,Staying up late is good for your health,Staying up late is bad for your health,Staying up late decreases human function and may lead to sudden death,Sleep is necessary for health.,not sleeping enough can eventually cause psychosis,Staying up late decreases human function and may lead to sudden death,Many young people like to stay up late.,People should take care of their health,0
7245,Bicycle drivers need to be examined strictly,pilots who fly planes need to be examined strictly,Everyone can ride a bicycle as long as they can ride it.,Bicycle drivers doesn't need to be examined strictly because they are not responsable for a lot of people.,bicycle driving does not have any risk,People need to be examined before they become a car driver,Everyone can ride a bicycle as long as they can ride it.,A child can also be a bicycle driver,1
7246,The sea is sweet,The sea is salty,The seawater contains a lot of salt.,"The sea does not contain sugar, or anything that makes it taste sweet",the ocean has salt in its composition,The seaside scenery is beautiful.,Some people like sweet food,The seawater contains a lot of salt.,2
7247,Africans skin is white,Africans skin is black,High temperatures keep Africans' skins black,Africans have dark skin,Africans have black skin.,Africa is famous for its indigenous culture.,European skin is white,High temperatures keep Africans' skins black,2
7248,Achilles tendon fracture can be strenuous exercise,Achilles tendon fracture can not do strenuous exercise,Exercise can lead to more severe Achilles tendon fractures.,Strenuous exercise is not an occurrence from an achilles tendon fracture,It is an injury and not a type of exercise.,Exercise can lead to more severe Achilles tendon fractures.,Achilles tendon fracture is a serious disease,People should protect themselves to avoid Achilles tendon when doing strenuous exercise,0
7249,we can play computer games for a long time,We can't play computer games for a long time,Playing computer games for a long time can lead to poor eyesight,Playing computer games for too long can be detrimental to your health.,Playing games on computer is not good for our health and for our eyes.,Playing computer games is a relaxing way,Some computer games need to load for a long time,Playing computer games for a long time can lead to poor eyesight,2
7250,The moon can be used as a tourist destination,Japan can be used as a tourist destination,The environment of the moon is not suitable for human travel.,The moon is to far and to expensive to be used as a tourist destination.,moon is too far from the earth,There are many tourist destinations in the world,The environment of the moon is not suitable for human travel.,The moon is the fifth largest satellite in the solar system,1
7251,He takes a bath in the restaurant every day,He eats in a restaurant every day,restaurant is a place to eat. Bath needs to go to bathroom.,a restaurant doesn't have a shower and soap to take a bath,Restaurants are for dining,Many people like to take a bath every day,There are many restaurants in every city.,restaurant is a place to eat. Bath needs to go to bathroom.,2
7252,Einstein is a famous philosopher,Einstein is a famous physicist,Einstein made a great contribution to the cause of physics.,Philosophy is a different job than physicist.,Philosophy is not what Einstein was known for.,Philosophy is a profound study of problems.,Einstein made a great contribution to the cause of physics.,Einstein has a high IQ.,1
7253,homeless people are rich,homeless people are pitiful,People who do not have money become homelessness,Homeless people do not have much money.,"Rich people only can buy homes , poor people can't.",People who do not have money become homelessness,homeless people should ask for help from the rich,Homeless people deserve sympathy,0
7254,he treats me so bad that I like him so much,he treats me so bad that I hate him so much,People would have bad feelings about unfriendly people,"Commonly, being treated badly is not a trait that one would enjoy or a reason to like someone",Bad treatmeant usually doesn't inspire feelings of endearment.,People would have bad feelings about unfriendly people,We like people who treat us well,treating people nice can help with building friendships,0
7255,she danced to the cello,she danced to the music,cello is an instrument that can not be danced to,It is not possible to dance to cello,A stationary silent cello is not good to dance to.,cello can produce music,cello is an instrument that can not be danced to,some people are born to dance,1
7256,Thieves are not punished for stealing,Thieves are punished for stealing,Thieves will be punished by law for stealing.,People are actually punished for stealing.,Thieves gets punished for stealing.,Thieves will be punished by law for stealing.,There are many kinds of punishment.,Thieves stealing things will endanger people's property and safety of life,0
7257,We should disobey traffic rules.,We have to obey traffic rules,Traffic paralysis due to non-compliance with traffic regulations,Traffic rules exist for safety.,Traffic rules are meant to be followed.,There are a lot of traffic rules.,"Even today, some people still disobey traffic rules",Traffic paralysis due to non-compliance with traffic regulations,2
7258,Golf balls I had for dinner,My hamburger I had for dinner,Golf can't be eaten.,Golf balls are not edible.,Golf balls are a sports item.,People like to play golf balls after dinner,Golf can't be eaten.,Golf is expensive.,1
7259,I can watch piano music.,I can hear piano music.,Music comes in through the ear.,music in not visual,Music can only be heard.,Music comes in through the ear.,Pianos are usually expensive.,people can watch movies about music and piano,0
7260,Watching mobile phones for a long time is not harmful to your health,Watching mobile phones for a long time is harmful to your health,Mobile phones emit radiation,Watching mobile phones for long hours  damages human health.,watching mobile phones for a long time can damage our sight.,Mobile phones need to pay for calls.,Mobile phones emit radiation,People should take care of their health and not do something harmful to it,1
7261,Pencils will harden after they are used up,Rubber will harden when used up,Rubber aging occurs during use,Pencils gets soft when they are used up.,"Pencils start hard, but get shorter as used.",Put the pencil in the pencil box when it's used up.,Rubber aging occurs during use,Pencils and erasers are essential for learning.,1
7262,It's very hot in winter.,It's very hot in the summer.,The sun shines all over the earth in summer,Winter is cold weather.,The winter has cold weather.,You can go swimming in the summer because it is hot.,The sun shines all over the earth in summer,The ice sculptures in winter are very beautiful.,1
7263,The road can wash clothes.,The washing machine can wash clothes.,The road can only be used for walking.,Roads are for driving on and have no mechanism for washing.,A road is not a human to wash clothes.,Washing machines are particularly expensive.,The roads are very wide.,The road can only be used for walking.,2
7264,We can drink too much cold food.,We cannot drink too much cold food,Drinking more cold drinks can lead to gastrointestinal discomfort.,Only liquids can be drunk.,Food is not meant to be drank.,Drinking more cold drinks can lead to gastrointestinal discomfort.,Cold drinks in summer taste good.,Ice is usually added to cold drinks.,0
7265,Human blood is green,Human blood is red,"Human blood contains red blood cells, which are red.",The color of human blood is incorrect.,Every human on earth has red blood.,The grass is green,"Human blood contains red blood cells, which are red.",Human blood contains a lot of iron ions.,1
7266,The atomic bomb is a terrible animal.,The atomic bomb is a terrible military weapon.,Atomic bombs do not belong to animals,The atomic bomb is not an animal.,Atomic bomb is not a living creature.,There are many powerful animals in nature.,Atomic bombs do not belong to animals,"In some countries, the President authorized the use of atomic bombs.",1
7267,Man is a solitary animal.,Man is a social animal.,People need to be social to make friends and get information,Man is a social animal,"Man is an animal that lives in society, so he cannot be lonely.",Bears are born as solitary animals.,People need to be social to make friends and get information,People sometimes need solitary to reflect their mistakes,1
7268,Long exposure to sunlight is good for health,Exposure to sunlight for a long time is harmful to health,Long exposure to sunlight can lead to skin diseases,Too much exposure is bad,Sunlight rays doesn't contain anything for good health,The sunlight reflected from the water surface is very dazzling.,I like being exposed to the sun very much.,Long exposure to sunlight can lead to skin diseases,2
7269,We often bathe in the sand.,We often bathe with water.,Sand can not help us clean our body,Sand is not a proper bathing medium and will not get you clean.,Sand is not a liquid so it can't be used to bathe in,There is usually a lot of sand in the desert.,"After exploring deserts, we finally took a bathe",Sand can not help us clean our body,2
7270,I like eating tigers very much.,I like pork very much.,Eating tigers is an illegal act,Tigers are found in zoos.,Tigers are not meant to be eaten.,The tiger is a very ferocious animal.,Eating tigers is an illegal act,Tigers like eating small animals,1
7271,Birds can swim freely in the water.,Fish can swim freely in the water.,Birds can only fly in the sky.,"birds do not swim typically, they fly",birds only live in land,A flock of birds was singing merrily.,The birds can prey the shrimp swimming in the water,Birds can only fly in the sky.,2
7272,I use bears as my toys,I regard the puppet bear as my toy,Bears are wild animals and cannot be used as toys.,Bears are wild animals that can harm people and should not be played with as toys.,"Bears would be very dangerous toys, even tame ones could hurt you.",Bears are wild animals and cannot be used as toys.,There is a very ferocious bear in the woods.,Many children like toys very much.,0
7273,I eat hot pot by hand,I eat hot pot with chopsticks,Eating hot pot with your hands can burn your hands.,You will burn your hands if you touch it.,Hot pot is eaten with chopsticks because it is hot.,Eating hot pot with your hands can burn your hands.,"The chafing dish is a favorite with the northern Chinese,",People in some countries like to eat hand-grabbed meals.,0
7274,I like to talk to my dog.,I like to talk to my friends.,Dogs don't talk.,Dogs can't talk back.,Dogs cannot talk.,My dog is very loyal to me.,I talked to my friends about my dog,Dogs don't talk.,2
7275,Motorcycle riders should wear hats,Motorcycle riders should wear a helmet,Hats do not protect the head,Hats will not protect the rider in a crash.,Hats do not protect a motorcycle rider's head.,Hats do not protect the head,The motorcyclist rider likes wearing a hat,Motorcycles sped down the street.,0
7276,we can keep pandas as pets,we cannot keep pandas as pets,pandas are rare thus protected,Pandas are not allowed to be help as pets.,Pandas cannot be kept as pets,pets and pandas are cute,pandas are rare thus protected,pandas are from China,1
7277,drinking alcohol is good for health,drinking alcohol is bad for health,Alcohol can damage liver function,Drinking alcohol is very detrimental to your health.,Alcohol can be harmful in excessive portions.,Alcohol can damage liver function,Drinking at certain occasions is necessary,Children are not allowed to drink to protect their health,0
7278,you don't need a passport to enter a foreign country,you need a passport to enter a foreign country,passport proves a person's nationality and identity and it's required when entering a foreign country,If you go to a foreign country without a passport you will be turned away or detained.,"If you do not have a passport, you will not be allowed into a foreign country.",passport proves a person's nationality and identity and it's required when entering a foreign country,Different countries have different passports,The passport from different countries have the same function,0
7279,"when America is during wintertime, Australia is also during wintertime","when America is during wintertime, Australia is during summer time",the seasons in the north and south hemispheres are opposite,"Earth tilts, causing opposite seasons.","Australia is in the southern hemisphere so when America is in wintertime, Australia is in summertime unless it is South America.",Australia has a better climate than America,"In winter, some American will travel to Australia",the seasons in the north and south hemispheres are opposite,2
7280,usually there are many buildings in a forest,usually there are many trees in a forest,a forest is an ecological system where plants and animals live,Forests are often lacking buildings,"Everyone knows that their are not many buildings in a forest, its always lots of trees.",it is fun to go hiking in a forest,there are more buildings in a city than in a rural area,a forest is an ecological system where plants and animals live,2
7281,I ate baseballs for breakfast,I ate potatoes for breakfast,baseball is not a kind of food,Baseballs are not edible.,Eating a baseball wouldn't make for a good breakfast. It is a sports product.,baseball is not a kind of food,The baseball is much more expensive than the food I had in breakfast,"After having breakfast, I went out to play baseball",0
7282,Peter lied and his mother praised him,Peter lied and his mother punished him,lying is not right thus should not be encouraged,no one praises for a wrong activity,Lying is generally considered something worthy of punishment.,Praise is a way to cheer children up,lying is not right thus should not be encouraged,People should not lie to their mothers,1
7283,"after the sunrise, the sky will turn dark","after sunset, the sky will turn dark",sunrise is the start of a daytime,"After the sun rises, the sky lightens and the day begins.",sunrise will be turning light,"Even after the sunrise, today is still very dark",sunrise and sunset time differs in different regions,sunrise is the start of a daytime,2
7284,humans can breathe underwater,humans cannot breathe underwater,humans need air to breathe but there is not enough air underwater,"Many fish can breathe underwater, but humans are unable to.",humans need air to breathe,fish can breathe underwater,humans can eat the fish which can breathe underwater,humans need air to breathe but there is not enough air underwater,2
7285,I have five eyes,I have two eyes,"Usually, humans have two eyes",People only have two eyes.,A person only typically has two eyes.,eyes help us see the world,"Usually, fishes have two eyes","Usually, humans have two eyes",2
7286,The peach is a kind of animal,The peach is a kind of fruit,Peaches grow on peach trees,An animal is a living creature.,There is no animal called peach.,Some animals like to eat a peach,Some animals are living on the peach trees,Peaches grow on peach trees,2
7287,12-year-old Mary is shorter than she was six years ago.,12-year-old Mary is taller than she was six years ago.,Children grow taller when they grow up,Children grow taller with age.,Between six and twelve children grow taller.,Mary is whiter than six years ago,many trees could grow taller in six years,Children grow taller when they grow up,2
7288,this dress tastes very good,this dress looks very good,No one can eat a dress,you can not eat a dress,Only food can be eaten.,The girl in a dress is tasting the bread,No one can eat a dress,Some dresses are expensive than the food which tastes good,1
7289,I put my pens in my wash bag,I put my pens in my pencil box,wash bags are for toiletries,Pens do not get washed.,You should not wash your pens.,I lose my pens and wash bags,wash bags are for toiletries,pens can be much more expensive than the wash bag,1
7290,watermelons grow on trees,apples grow on trees,watermelons grow on vines but not on trees,"Watermelons grow on vines on the ground, not in trees.",Watermelons grow in the ground.,people usually eat watermelons under trees in summer,watermelons grow on vines but not on trees,Watermelons and trees both look green outside,1
7291,most people have two heads,most people have two legs,a human normally has one head,Most people have one head.,We do not have enough room on our shoulders for two heads,people have legs and head,people's heads can control their legs,a human normally has one head,2
7292,the proposal usually happens after the wedding,the proposal usually happens before the wedding,people usually propose first before they get married,the proposal usually happens before the wedding,There is nothing to propose after a wedding.,people usually propose first before they get married,not everyone wants to get married even the proposal happens,"when two people fell in love, they may get married without proposal",0
7293,he likes fishing by a desert,he likes fishing by a lake,there is no fish in the desert,You cannot fish in a desert.,A desert has no water.,the desert is usually hot,there is no fish in the desert,it's a nice thing to eat fish in the desert,1
7294,"if you want to get good grades, you'd better have parties","if you want to get good grades, you'd better study hard",having parties is not a good way to improve your grades,There is no connection between having parties and getting good grades.,Parties will not help you get good grades.,many people who love party can not get good grades,having parties is not a good way to improve your grades,"not everyone cares about grades, maybe some people only care about parties",1
7295,you can walk into a room straightly if the door is closed,you can walk into a room straightly if the door is open,The closed door will block the way,One cannot enter a room if the door is closed unless one opens the door to provide entry into a room.,One cannot walk through a closed door.,The closed door will block the way,we should remember to lock the door when we left home,every room should have a door,0
7296,you need to be asleep to stay up,you need to be awake to stay up,staying up means not going to sleep at night,Staying up means we are not asleep.,Being asleep is the opposite of being awake.,some people are wondering about how to be asleep,staying up is bad for health,staying up means not going to sleep at night,2
7297,I had an umbrella for lunch today,I had a hamburger for lunch today,an umbrella is not something that can be eaten,Umbrellas are not edible.,Umbrellas are not edible.,an umbrella is not something that can be eaten,an umbrella is useful when you want to go out for lunch on a rainy day,I bring an umbrella and go for lunch,0
7298,the hunter caught a shark in the forest,the hunter caught a deer in the forest,"sharks live in the sea, not the forest","Sharks live in the ocean, and can't survive in a forest.",Sharks are found in the sea not in forest.,catching sharks is very dangerous for the hunter,The hunter living the forest likes sharks,"sharks live in the sea, not the forest",2
7299,I'm tired now so I need to take some exercise,I'm tired now so I need to get some rest,taking exercise could make people feel more tired,I am tired now so I won't go to the gym anymore but will get a well needed rest and be ready to go again.,Exercise tires people out.,taking exercise could make people feel more tired,taking exercise is good for health,"some people don't like to take exercise, because they are afraid of being tired",0
7300,I can hear the pictures on the wall,I can see the pictures on the wall,pictures are not sound and can't be heard,"Pictures are images, not sounds, so they cannot be heard, only seen.",Pictures do not make sounds,some people suffer from hearing problems,some pictures on the wall can be unpleasant,pictures are not sound and can't be heard,2
7301,my home is 2 kilometers from school and I take a plane to school everyday,my home is 2 kilometers from school and I walk to school everyday,taking a plane is not necessary for such a short distance as 2 kilometers,Plane is an object that cannot be used to travel for 2 kilometers.,Planes are used for much longer trips.,taking a plane to school is very expensive,taking a plane is not necessary for such a short distance as 2 kilometers,The runway of the plane is much longer than two kilometers,1
7302,people go to the park when they are sick,people go to the hospital when they are sick,a park is not a place where you can get medical treatment,"If you are sick, see a doctor.",Sick people cannot be taken to the park.,a park is not a place where you can get medical treatment,There are some people continuing going to the park when they are sick,"no one likes to be sick, but some people like to go to the park",0
7303,I am waiting for the train at the bus station,I am waiting for the bus at the bus station,"the train stops at the train station, not the bus station",Buses go to bus stations and not trains.,"One would wait for a bus at a bus station and a train at a train station, not a train at a bus station.","the train stops at the train station, not the bus station",train goes faster than bus,there are seats at some bus stations,0
7304,I want to go to the North Pole to see penguins,I want to go to the South Pole to see penguins,"Penguins live at the South Pole, not the North Pole",There are no penguins at the North Pole.,Penguins are only on the South Pole.,Polar bears live at the North Pole,"Penguins live at the South Pole, not the North Pole",the North Pole is not suitable for penguins and people,1
7305,there was a car accident so I called the travel agency,there was a car accident so I called the police,a travel agency is not helpful when dealing with a car accident,A travel agency isn't an emergency service during a car accident.,"Travel agencies typically arrange trips, rather than deal with emergency situations.",it's necessary to call the insurance company when there is a car accident,a travel agency is not helpful when dealing with a car accident,The guy who works in a travel agency got hurt in the car accident,1
7306,I go swimming at the cinema with my friends every weekends,I go swimming at the gym with my friends every weekends,"cinema is a place to watch movies, not to go swimming",A swimming pool cannot be found in a cinema,Swimming requires the use of water and cinema's are created for viewing movies so one cannot swim in a cinema.,"cinema is a place to watch movies, not to go swimming",swimming and going to the cinema both are very interesting,hanging out to swim with friends every week is fun,0
7307,every morning the sunlight shine into my room through the wall,every morning the sunlight shine into my room through the window,light can't penetrate the wall,The sun cannot shine through the wall.,The sun doesn't cross the wall,Sunlight makes the wall look brighter,light can't penetrate the wall,Every room should have walls,1
7308,Columbus created America,Columbus discovered America,America is not something that can be created by a human,"The land later known as America was already in existence before 1492, so Columbus could not have created it himself.","Columbus did not create America, but was one who found the land.",Columbus didn't explore the new continent,America is a land with great resources,America is not something that can be created by a human,2
7309,I put my phone in my shoe,I put my phone in my pocket,people normally don't put their phones in shoes,Phones don't belong in shoes; only feet belong in shoes.,shoe is meant for legs,almost everyone needs a phone and a pair of shoes,people normally don't put their phones in shoes,People can buy shoes and phones in the mall,1
7310,I learned to swim to enjoy art,I learned to paint to enjoy art,swimming is a sport but not a way to enjoy art,Swimming is not considered art.,Swimining is not an art.,swimming is a sport but not a way to enjoy art,swimming can be difficult to learn for some people,Swimming can also be a kind of art in someone's eyes,0
7311,suit is a good quality of a person,honesty is a good quality of a person,suit is not a quality of a person,A suit is something a person wears.,A suit is a type of clothing item.,a person with nest suit is usually popular,People need to have good qualities and wear in a nested suit,suit is not a quality of a person,2
7312,Fasten your seat belt after you drive,Fasten your seat belt before you drive,The car won't start until the seat belt is fastened,Fastening your seatbelt after driving provides no safety benefit.,You should fasten before you drive,"there are many rules to follow while driving, like fastening seat belts",A driver must know how to fasten the seat belt,The car won't start until the seat belt is fastened,2
7313,birds can breathe in the water,fish can breathe in the water,birds have no gills thus can only breathe in air,Birds can not live under water.,"Birds must breathe air, and they would drown in the water.",some animals have gills to breathe under the water,birds have no gills thus can only breathe in air,birds can fly but can not swim in the water,1
7314,we can see the future through photos,we can remember the past through photos,"photos record things happened in the past, not things will happen in the future",photos cannot be taken of the future,Photos are present situation,photography is a kind of art to capture the past,"photos record things happened in the past, not things will happen in the future","No matter what happened in the past, we should focus on the future",1
7315,two people who love each other must marry each other,two people who love each other may marry each other,marriage is not a requirement or obligation,There are no laws requiring marriage.,people who love each other don't necessarily have to marry each other,marriage is not always happy for two people who love each other,marriage represents not only the love between each other but also responsibility,marriage is not a requirement or obligation,2
7316,good-looking people must have better chances to success,hard-working people have better chances to success,physical appearance has nothing to do with success,Success comes from talent and dedication.,Good looks has nothing to do with success.,physical appearance has nothing to do with success,Good-looking people are easily to be popular among friends,"No matter you look good or not, we should catch the chance to success",0
7317,Tom was absent two days this week and the teacher was very happy for it,Tom was absent two days this week and the teacher was very angry for it,the teacher will be unhappy for students being absent,A teacher is not happy when a student misses class,Teachers are not usually happy when their students are absent from class.,teachers often make a lot of rules to avoid students being absent,the teacher will be unhappy for students being absent,students are afraid that their teachers will find they are absent sometimes,1
7318,he takes a shower in his closet every morning,he takes a shower in his bathtub every morning,"closet in a place to put clothes in, not to take a shower",is impossible to take a shower in the closet,Closet is too small size for taking shower,you can store your food in the closet every morning,People need to take a shower and clean their closets frequently,"closet in a place to put clothes in, not to take a shower",2
7319,the plane is one of the most important discoveries in human history,the plane is one of the most important inventions in human history,discovery is to find something that already exists,"the plane is not a discovery in human history, but an invention made by humans in order to fly.",why is the plane is one of the most important.whats in it,discovery is to find something that already exists,planes are important means of transportation in human history,People can discover the remains of planes in the forest,0
7320,I had some toothpaste for my breakfast,I had bacon and eggs for my breakfast,toothpaste is not humans' food,Toothpaste is used for brushing teeth.,You can not eat toothpaste.,"after using toothpaste to clean my teeth, I went out for breakfast",toothpaste is not humans' food,people use toothpaste to clean teeth before breakfast,1
7321,homeless people are enviable,homeless people are pitiful,homelessness is not something good that people would envy about,There is not much to envy of the homeless.,Being homeless is an unpleasant state that most would prefer to avoid.,homeless people should ask for the government's help,homeless people sometimes envy the guy who lives in a villa,homelessness is not something good that people would envy about,2
7322,he treats me so nice that I hate him so much,he treats me so nice that I like him so much,people would have good feelings about friendly people,When people treat you nicely it is generally reciprocated.,Someone does not hate someone that treats them nicely,People hate the guy who treats others badly,people would have good feelings about friendly people,treating people nice can help with building friendships,1
7323,she danced to the piano,she danced to the music,piano is an instrument that can not be danced to,A piano is accompanied by singing only.,The piano is an unsafe dancing surface.,piano is an instrument that can not be danced to,piano can produce beautiful sounds,some people are born to dance,0
7324,Jack works at a garage as a waiter,Jack works at a restaurant as a waiter,a garage doesn't need waiters,garage have only mechanic,A garage is where cars are repaired.,a garage doesn't need waiters,waiters should be friendly to customers,Not every family has a garage,0
7325,people usually drink cakes when there are birthdays,people usually eat cakes when there are birthdays,"The cake is a kind of food, not a drink",People eat cakes.,"Cakes are food, so they are eaten and not drunk.","The cake is a kind of food, not a drink",He likes drinking coke and making cakes,not everyone can afford the cake to celebrate the birthday,0
7326,my mother's mother is my grandfather,my mother's mother is my grandmother,my mother's mother should be a woman,My mother's mother is female so she cannot be a grandather which is male.,A female cannot be a grandfather.,my mother's mother should be a woman,my father's mother is also my grandmother,everyone has grandfather and mother,0
7327,"people say ""excuse me"" after being helped","people say ""thank you"" after being helped","""excuse me"" is to express apology","It is rude to say ""excuse me"" after being helped.","""Excuse me"" is used when you are trying to get someone's attention.",People show kindness about the behaviors of helping others,"people say ""excuse me"" when they have to interrupt a conversation","""excuse me"" is to express apology",2
7328,It costs me 1 dollar every day to go to school on foot,It costs me 1 dollar every day to go to school by bus,walking doesn't cost money,There is no fee required for walking.,Going on foot does not cost anything.,school bus is usually free for students to take to school,walking doesn't cost money,walking is good for health and everyone likes dollar,1
7329,Lily worked very hard because she got good grades,Lily worked very hard so she got good grades,"getting good grades is the result of working hard, not the cause","She had to work hard to get the grades, not the other way around",Working hard will give you good grades.,some people care about grades but do not want to work hard,"getting good grades is the result of working hard, not the cause",It is hard for people to work hard all the time especially after getting a good grade,1
7330,you must go to college after graduation from high school,you can go to college after graduation from high school,People are free to decide whether to go to college or not,you can do whatever you want after graduating high school,"Not everybody has to go to college, there are others options after high school.",not everyone goes to high school,People are free to decide whether to go to college or not,many parents want their children to go to college and graduation,1
7331,I picked a peanut from the tree,I picked a cherry from the tree,peanuts don't grow on trees,peanuts do not grow on trees,Peanuts grow in the ground.,peanuts don't grow on trees,There are many peanuts and trees in the world,peanut can be used to make oil,0
7332,I don't feel hungry any more after a nap,I don't feel hungry any more after my lunch,a nap can't make you full,only food can reduce hunger,"a nap does not fill you up, it rests you",taking a nap is a good habit,a nap can't make you full,Some people have a nap until they feel hungry again,1
7333,a restroom is a place for dining,the dining room is a place for dining,the restroom is a place for people to go to the toilet,A restroom is a place for using the bathroom.,the restroom is a place for using the bathroom.,a house has many rooms including the dining room and the restroom,the restroom is a place for people to go to the toilet,People usually go to the restroom after dining,1
7334,a spider has six legs,an ant has six legs,a spider has eight legs,Spiders have eight legs.,Spider's have eight legs.,a spider has eight legs,some people are afraid of spiders because they have many legs,Mosquitos are small and have many legs,0
7335,I had a bad day and I was excited,I had a bad day and I was upset,a bad day would make people feel bad,A bad day makes people sad.,Nobody is happy in a bad day,there are things to do which can male people feel excited again,a bad day would make people feel bad,People need to control their emotions after having a bad day,1
7336,"my clothes are dirty, so I wear them","my clothes are dirty, so I wash them",people don't want to wear dirty clothes,Dirty clothes need washing before wearing again.,People do not wear dirty clothes.,people don't want to wear dirty clothes,some clothes cannot be worn under the water,"I am lazy, so I do not want to wash these dirty clothes",0
7337,I like to watch the moon rise in the morning,I like to watch the moon rise in the evening,the moon comes out in the evening,"The moon rises at night, and sets in the morning.",The sun rises in the morning and the moon sets at night so one watches the sun rise in the morning not the moon.,sunshine in the morning is too strong to see the moon,many people go to bed in the evening with the moonrise,the moon comes out in the evening,2
7338,My leg was stolen yesterday,My purse was stolen yesterday,a leg is a part of the human body and cannot be stolen,"Unless you have an artificial leg, it would not be possible for someone to remove your leg from your body in order to steal it.",A leg is attached to a body and cannot be stolen.,some people don't have legs but have purses,a leg is a part of the human body and cannot be stolen,We can buy pork leg and purses in the supermarket,1
7339,He jumped into the sandpit to save the drowning kid,He jumped into the water to save the drowning kid,"if someone is drowning, he or she must be in the water, not the sandpit",You can only drown in water.,"People drown in water, not sand.",drowning in the water could be dangerous for children,"if someone is drowning, he or she must be in the water, not the sandpit",Kids can play at the sandpit near to the water,1
7340,I caught a cold and I felt energetic,I caught a cold and I felt weak,Being sick can leave you with no energy,Colds make us tired.,Colds make you feel tired.,Being sick can leave you with no energy,no one likes feeling no energy and catching a cold,even strong people could not be energetic every time,0
7341,I made a fire after cooking,I made a fire before cooking,People use fire to cook,You should make a fire before cooking.,The fire would have to be made before cooking.,fire can be dangerous during cooking,People use fire to cook,The first time people use fire to cook was long times ago,1
7342,we were cold so we put out the fire in the fireplace,we were cold so we lit the fire in the fireplace,putting out the fire in the fireplace will only make us feel colder,fire will be putout when one feels hot,People use fireplaces to stay warm and avoid coldness.,putting out the fire in the fireplace will only make us feel colder,it's dangerous to put out the fire by alcohol,not every house has a fireplace to resist the cold,0
7343,Steve drove back to California from Australia,Steve drove back to California from Canada,you need to take a ship or plane to go to the U.S. from Australia,car cannot be used for oversea travel.,"Because Australia is an island, it is impossible to drive across the ocean to California.",California's climate is different from that of Australia,Both Australia and California are good places to travel to,you need to take a ship or plane to go to the U.S. from Australia,2
7344,you can go when there is a stop sign,you must stop when there is a stop sign,not stopping at a stop sign is violating the traffic rules,A green light means you can go.,If you go during a stop sign you might get ran over.,a stop sign is usually red,not stopping at a stop sign is violating the traffic rules,there are many stop signs in the city,1
7345,a customer can ask a cleaner question about the price of products in a mall,a customer can ask a salesman questions about the price of products in a mall,a cleaner is in charge of cleaning not the products,It isn't a cleaner's job to know the price of products in the mall.,Cleaner's aren't the best people to ask questions about prices at the mall,Products with suitable price in the mall are popular,Cleaners in the mall usually clean the ground but not the products,a cleaner is in charge of cleaning not the products,2
7346,Children must learn to ride bikes by themselves,Children can learn to ride bikes by themselves,Children can get others' help when learning to ride a bike,learn to ride a bike is a activity which is good to have someone to help when you're a child,children learn from others,Children are always curious about riding bikes,Children can get others' help when learning to ride a bike,Children don't need a driver's license to ride a bike,1
7347,a little baby can live alone,a little baby needs parents' care,"a little baby cannot get food, water, and money by him(her)self",A little baby is not an adult,Babies need love and support from parents.,"a little baby cannot get food, water, and money by him(her)self","No one likes living alone, including the little babies",little babies often cry when being alone,0
7348,Money can buy families,Money can buy houses,families can't be bought,humans are not objects to be bought,"Money is used to purchase items for families, so because families are people and not for sale, money cannot buy them.",the families can earn money together,families can't be bought,family is much more important to many people than money,1
7349,Money can buy happiness,Money can buy movie tickets,happiness is not something like the movie tickets that you can buy,The old saying is money can't buy happiness.,Money cannot buy a psychological state.,Both happiness and money are important,happiness is not something like the movie tickets that you can buy,Going to movies can make me happy,1
7350,drivers may not obey traffic regulations.,drivers should abide by traffic rules,Failure to comply with traffic regulations may lead to traffic accidents,You will get in trouble if you don't obey traffic regulations.,Drives have to obey traffic regulations or something bad will happen.,Failure to comply with traffic regulations may lead to traffic accidents,Traffic police command traffic and drivers,Remember the traffic regulations when driving,0
7351,I bought my favorite writer's new book from the farmers' market,I bought my favorite writer's new book from the bookstore,there are no books for selling in a farmers' market,books are not sold in any farmers' market.,only fruits and vegetables are sold in a farmer's market,my favorite writer's new book is about the farmers' market,there are no books for selling in a farmers' market,we can read the book in the farmers' market,1
7352,Lily met her boyfriend on the Moon,Lily met her boyfriend at a bus station,there's no life in the Moon,There are no human habitants on the moon.,People do not live on the Moon.,some couple fall in love with each other when they first meet,there's no life in the Moon,scientists are trying to send people to the Moon,1
